survey_type,col_name
ir,caseid
ir,v000
ir,v001
ir,v002
ir,v003
ir,v004
ir,v005
ir,v007
ir,v013
ir,v024
ir,v025
ir,v106
ir,v190
ir,v201
ir,v213
ir,v215
ir,v217
ir,v222
ir,v225
ir,v302
ir,v302a
ir,v304_01
ir,v304_02
ir,v304_03
ir,v304_05
ir,v304_06
ir,v304_07
ir,v304_08
ir,v304_09
ir,v304_10
ir,v304_11
ir,v304_13
ir,v304_14
ir,v304_16
ir,v304_17
ir,v304_18
ir,v305_01
ir,v305_02
ir,v305_03
ir,v305_04
ir,v305_05
ir,v305_06
ir,v305_07
ir,v305_08
ir,v305_09
ir,v305_10
ir,v305_11
ir,v305_13
ir,v305_14
ir,v305_16
ir,v305_17
ir,v305_18
ir,v312
ir,v313
ir,v317
ir,v320
ir,v323
ir,v323a
ir,v326
ir,v362
ir,v384a
ir,v384b
ir,v384c
ir,v384d
ir,v393a
ir,v394
ir,v395
ir,v502
ir,v528
ir,v605
ir,v626a
ir,v632
ir,m10_1
ir,m6_1
ir,s309b
ir,s313
ir,s607c
ir,s607d
ir,v008
ir,v375a
ir,v376
ir,v3a02
ir,v3a03
ir,v3a04
ir,v3a05
ir,v3a06
ir,v512
ir,v525,
ir,caseid
ir,v011
ir,v017
ir,v018
ir,v019
ir,v021
ir,v023
ir,v101
ir,v102
ir,vcal_1
ir,vcal_2
ir,vcal_3
ir,vcal_4
ir,vcal_5
ir,vcal_6
ir,vcal_7
ir,vcal_8
ir,vcal_9
mr,mcaseid
mr,mv000
mr,mv001
mr,mv002
mr,mv003
mr,mv004
mr,mv005
mr,mv301
mr,mv304_6
mr,mv384a
mr,mv384b
mr,mv384c
mr,mv384d
mr,mv502
